testing_model_structure,testing_model_type,testing_model_augmentation,testing_model_idx,D_attack_type,D_attack_direction,D_generating_model,D_idx,acc,loss
ResNet20v1,ff,cw,3,cwl2,untargeted,ResNet56v1,1,0.1011999994516372,10.619051933288574
ResNet20v1,ff,cw,3,pgd,targeted_ll,ResNet20v1,1,0.0615000016987323,4.968162536621094
ResNet20v1,ff,cw,3,pgd,targeted_ll,ResNet56v2,2,0.0472999997437,5.735104560852051
ResNet20v1,ff,cw,3,pgd,targeted_ll,ResNet20v2,2,0.065200001001358,4.82299280166626
ResNet20v1,ff,cw,3,pgd,untargeted,ResNet20v2,3,0.150299996137619,4.394435405731201
ResNet20v1,ff,cw,3,pgd,targeted_ll,ResNet20v1,0,0.2863000035285949,3.0752737522125244
ResNet20v1,ff,cw,3,pgd,untargeted,ResNet56v2,1,0.1407999992370605,4.436596393585205
ResNet20v1,ff,cw,3,pgd,targeted_ll,ResNet56v2,1,0.0498000010848045,5.374410152435303
ResNet20v1,ff,cw,3,pgd,targeted_ll,ResNet20v1,6,0.0273000001907348,6.148355484008789
ResNet20v1,ff,cw,3,pgd,untargeted,ResNet20v1,5,0.1711000055074691,4.154007434844971
ResNet20v1,ff,cw,3,pgd,untargeted,ResNet56v2,3,0.1178999990224838,4.681775569915772
ResNet20v1,ff,cw,3,pgd,untargeted,ResNet20v2,2,0.1421000063419342,4.204041004180908
ResNet20v1,ff,cw,3,pgd,targeted_ll,ResNet56v1,3,0.0386000014841556,6.116652488708496
ResNet20v1,ff,cw,3,pgd,targeted_ll,ResNet56v2,3,0.0441999994218349,5.593154430389404
ResNet20v1,ff,cw,3,pgd,targeted_ll,ResNet20v2,3,0.0666999965906143,4.862303733825684
ResNet20v1,ff,cw,3,pgd,untargeted,ResNet20v2,1,0.2662000060081482,3.188735246658325
ResNet20v1,ff,cw,3,pgd,targeted_ll,ResNet56v1,1,0.0465000011026859,5.959273338317871
ResNet20v1,ff,cw,3,pgd,untargeted,ResNet56v1,3,0.1353999972343444,4.6078267097473145
ResNet20v1,ff,cw,3,pgd,untargeted,ResNet20v1,7,0.0958999991416931,5.2245612144470215
ResNet20v1,ff,cw,3,pgd,targeted_2nd,ResNet56v1,7,0.0258000008761882,6.968517303466797
ResNet20v1,ff,cw,3,pgd,untargeted,ResNet20v1,1,0.1755000054836273,4.030377388000488
ResNet20v1,ff,cw,3,pgd,targeted_ll,ResNet56v1,2,0.1061000004410743,4.707639694213867
ResNet20v1,ff,cw,3,pgd,untargeted,ResNet56v1,2,0.2610000073909759,3.3807597160339355
ResNet20v1,ff,cw,3,pgd,targeted_ll,ResNet20v2,1,0.1976000070571899,3.387867927551269
