model,dataset,accuracy
resnet56v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8709
resnet56v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8723
resnet56v2_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8043
resnet56v2_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8101
resnet56v2_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.7829
resnet56v2_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8004
vgg11_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8119
vgg13_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8016
vgg16_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.824
vgg19_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8233
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8177
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8147
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8125
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8114
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8981
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8299
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8359
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8323
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8525
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8607
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8342
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8408
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8418
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8464
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8006
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8104
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8023
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8153
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8115
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8126
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8165
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8123
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8133
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8089
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.813
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8079
resnet20v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8366
resnet20v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8338
resnet20v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8371
resnet20v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8339
resnet20v1_original_tuned-once-on_original_ver4,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8317
resnet20v1_original_tuned-once-on_original_ver5,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8354
resnet20v1_original_tuned-once-on_original_ver6,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8347
resnet20v1_original_tuned-once-on_original_ver7,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8317
resnet20v1_original_tuned-thrice-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8353
resnet20v1_original_tuned-twice-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8347
resnet20v1_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.7992
resnet20v1_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8094
resnet20v1_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8079
resnet20v1_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8059
resnet20v1_original_ver4,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8049
resnet20v1_original_ver5,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8088
resnet20v1_original_ver6,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8082
resnet20v1_original_ver7,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8
resnet20v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8476
resnet20v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8391
resnet20v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8469
resnet20v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8415
resnet20v2_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.791
resnet20v2_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.7909
resnet20v2_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.7954
resnet20v2_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.7961
resnet56v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8412
resnet56v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8358
resnet56v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.834
resnet56v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8407
resnet56v1_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8164
resnet56v1_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8093
resnet56v1_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8099
resnet56v1_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8066
resnet56v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8507
resnet56v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8454
resnet56v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8461
resnet56v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8458
resnet56v2_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.7999
resnet56v2_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8015
resnet56v2_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.7776
resnet56v2_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.7913
vgg11_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8175
vgg13_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8072
vgg16_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.7931
vgg19_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_test,0.8072
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8291
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8288
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8126
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.815
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8985
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8207
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8286
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8236
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8537
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8645
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8248
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8397
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8448
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8453
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.798
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8101
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.7938
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8051
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8193
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8193
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.816
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8199
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.819
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8153
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8203
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.816
resnet20v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8588
resnet20v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8535
resnet20v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.855
resnet20v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8562
resnet20v1_original_tuned-once-on_original_ver4,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8505
resnet20v1_original_tuned-once-on_original_ver5,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8499
resnet20v1_original_tuned-once-on_original_ver6,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8563
resnet20v1_original_tuned-once-on_original_ver7,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8568
resnet20v1_original_tuned-thrice-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8545
resnet20v1_original_tuned-twice-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8566
resnet20v1_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8039
resnet20v1_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8149
resnet20v1_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8165
resnet20v1_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8164
resnet20v1_original_ver4,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8131
resnet20v1_original_ver5,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8158
resnet20v1_original_ver6,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8144
resnet20v1_original_ver7,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8036
resnet20v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8702
resnet20v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8602
resnet20v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.867
resnet20v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8651
resnet20v2_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.7918
resnet20v2_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.7885
resnet20v2_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.7928
resnet20v2_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.7965
resnet56v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8647
resnet56v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8623
resnet56v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8559
resnet56v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8587
resnet56v1_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8278
resnet56v1_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8116
resnet56v1_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8193
resnet56v1_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8171
resnet56v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8749
resnet56v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8717
resnet56v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8712
resnet56v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8691
resnet56v2_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.7945
resnet56v2_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8063
resnet56v2_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.7729
resnet56v2_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.7961
vgg11_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8086
vgg13_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8209
vgg16_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.8168
vgg19_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0_test,0.7944
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.8461
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.8597
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.8022
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.8185
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.9019
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.8144
