logifold_type,entropy_threshold,simple_label,generator_family,Adv_using_history,average_voting_by_Judges,simple_majority_voting_by_Judges,simple_majority_voting_by_all,average_voting_by_all,Adv - judges_avg,Adv - All_avg,Adv - judges_majority,Adv - All_majority
PGD_bigstep_targeted-to-least,153.61881936525455,fgm(least),resnet,0.8992,0.7264,0.7274,0.8506,0.8542,0.17279999999999995,0.04500000000000004,0.17179999999999995,0.04859999999999998
PGD_bigstep_targeted-to-least,153.61881936525455,pgd(big),resnet,0.90815,0.7713,0.772125,0.8608750000000001,0.862375,0.13685000000000003,0.04577500000000001,0.13602500000000006,0.047274999999999956
PGD_bigstep_targeted-to-least,153.61881936525455,"pgd(least, big)",resnet,0.91955,0.7903249999999999,0.7889999999999999,0.8987499999999999,0.901575,0.12922500000000003,0.017974999999999963,0.13055000000000005,0.02080000000000004
PGD_bigstep_targeted-to-least,153.61881936525455,"pgd(least, big)",vgg,0.897375,0.78515,0.783525,0.867625,0.86985,0.11222500000000002,0.02752500000000002,0.11385,0.029750000000000054
PGD_bigstep_targeted-to-least,153.61881936525455,pgd(big),vgg,0.907925,0.8648750000000001,0.86455,0.88835,0.8890750000000001,0.04304999999999992,0.018849999999999922,0.04337499999999994,0.01957500000000001
PGD_bigstep_targeted-to-least,153.61881936525455,original,,0.938,0.9408,0.94,0.9384,0.9399,-0.0028000000000000247,-0.0019000000000000128,-0.0020000000000000018,-0.00040000000000006697
PGD_bigstep_targeted-to-least,153.61881936525455,"pgd(least, std)",resnet,0.937,0.9401,0.939,0.938,0.9394,-0.0030999999999999917,-0.0023999999999999577,-0.0019999999999998908,-0.0009999999999998899
PGD_bigstep_targeted-to-least,153.61881936525455,cwl2,resnet,0.9312,0.9347,0.9336,0.9354,0.9372,-0.0034999999999999476,-0.006000000000000005,-0.0023999999999999577,-0.0041999999999999815
PGD_bigstep_targeted-to-least,153.61881936525455,"pgd(2nd, std)",resnet,0.9352,0.9388,0.9386,0.9384,0.9385,-0.0035999999999999366,-0.0032999999999999696,-0.0033999999999999586,-0.0031999999999999806
PGD_bigstep_targeted-to-least,153.61881936525455,pgd(std),resnet,0.9355,0.9393,0.9388,0.9381,0.9385,-0.0038000000000000256,-0.0030000000000000027,-0.0032999999999999696,-0.0026000000000000467
PGD_bigstep_targeted-to-least,153.61881936525455,DF,resnet,0.8854,0.8893,0.8875,0.8878,0.8884,-0.0039000000000000146,-0.0030000000000000027,-0.0020999999999999908,-0.0024000000000000687
PGD_bigstep_targeted-to-least,153.61881936525455,cwl2(2nd),resnet,0.9291,0.9349,0.9336,0.9357,0.9376,-0.005799999999999916,-0.008499999999999952,-0.0044999999999999485,-0.006599999999999939
PGD_bigstep_targeted-to-least,153.61881936525455,cwl2(least),resnet,0.9322,0.9394,0.9385,0.9381,0.9395,-0.007199999999999984,-0.007299999999999973,-0.006299999999999972,-0.005900000000000016
PGD_bigstep_untargeted,153.61881936525455,"pgd(2nd, big)",resnet,0.9003,0.5952,0.5967,0.8117,0.8137,0.30510000000000004,0.08660000000000001,0.3036,0.08860000000000001
PGD_bigstep_untargeted,153.61881936525455,fgm,resnet,0.8968,0.7232,0.7213,0.8493,0.8521,0.1736000000000001,0.04470000000000007,0.1755,0.04749999999999999
PGD_bigstep_untargeted,153.61881936525455,fgm(2nd),resnet,0.8992,0.7264,0.7274,0.8506,0.8542,0.17279999999999995,0.04500000000000004,0.17179999999999995,0.04859999999999998
PGD_bigstep_untargeted,153.61881936525455,fgm(least),resnet,0.8992,0.7264,0.7274,0.8506,0.8542,0.17279999999999995,0.04500000000000004,0.17179999999999995,0.04859999999999998
PGD_bigstep_untargeted,153.61881936525455,pgd(big),resnet,0.90815,0.7713,0.772125,0.8608750000000001,0.862375,0.13685000000000003,0.04577500000000001,0.13602500000000006,0.047274999999999956
PGD_bigstep_untargeted,153.61881936525455,"pgd(least, big)",resnet,0.91955,0.7903249999999999,0.7889999999999999,0.8987499999999999,0.901575,0.12922500000000003,0.017974999999999963,0.13055000000000005,0.02080000000000004
PGD_bigstep_untargeted,153.61881936525455,"pgd(least, big)",vgg,0.897375,0.78515,0.783525,0.867625,0.86985,0.11222500000000002,0.02752500000000002,0.11385,0.029750000000000054
PGD_bigstep_untargeted,153.61881936525455,pgd(big),vgg,0.907925,0.8648750000000001,0.86455,0.88835,0.8890750000000001,0.04304999999999992,0.018849999999999922,0.04337499999999994,0.01957500000000001
PGD_bigstep_untargeted,153.61881936525455,original,,0.938,0.9408,0.94,0.9384,0.9399,-0.0028000000000000247,-0.0019000000000000128,-0.0020000000000000018,-0.00040000000000006697
PGD_bigstep_untargeted,153.61881936525455,"pgd(least, std)",resnet,0.937,0.9401,0.939,0.938,0.9394,-0.0030999999999999917,-0.0023999999999999577,-0.0019999999999998908,-0.0009999999999998899
PGD_bigstep_untargeted,153.61881936525455,cwl2,resnet,0.9312,0.9347,0.9336,0.9354,0.9372,-0.0034999999999999476,-0.006000000000000005,-0.0023999999999999577,-0.0041999999999999815
PGD_bigstep_untargeted,153.61881936525455,"pgd(2nd, std)",resnet,0.9352,0.9388,0.9386,0.9384,0.9385,-0.0035999999999999366,-0.0032999999999999696,-0.0033999999999999586,-0.0031999999999999806
PGD_bigstep_untargeted,153.61881936525455,pgd(std),resnet,0.9355,0.9393,0.9388,0.9381,0.9385,-0.0038000000000000256,-0.0030000000000000027,-0.0032999999999999696,-0.0026000000000000467
